type	route	num
work	1914789, 1913559	1
work	6923, 1	23
work	936, 496	1
work	1107, 282	87
work	21348, 1710959	5
work	4072, 21445	1
work	88, 50	20
work	1145673, 104	1
work	10, 1	911
work	1708553, 1907662	1
work	1084761, 125	6
work	1156164, 154	1
work	49, 153	5
work	204, 183	30
work	3820, 1	8
work	1083263, 476	1
work	20691, 1997	6
work	1130025, 1130004	1
work	1156301, 49	3
work	46, 144	2
work	1097136, 9254	1
work	1908717, 1931617	1
work	2, 42	218
work	164, 1	64
work	1906450, 3684820	1
work	40, 1	101
work	105, 1	173
work	158, 49	153
work	4975, 22678	3
work	18180, 1101	2
work	1501072, 761	4
work	1113, 225	1
work	20863, 33	1
work	1962, 161	25
work	4638235, 22713	1
work	707, 99	42
work	619, 627	40
work	1010065, 26	3
work	1150910, 110	11
work	110, 185	14
work	2, 147	53
work	12904, 18033	4
work	1500890, 761	1
work	270, 144	1
work	2203, 194	9
work	104, 13623	2
work	17260, 1600112	1
work	21613, 1	171
work	1370, 99	15
school	14876, 1344	3
school	479, 1517203	1
school	22, 11	148
school	1930, 1136808	1
school	199, 2205, 191	1
school	1, 9930	10
school	119, 1	55
school	18631, 1160001, 1630	1
school	141, 72	1
school	1, 5818	1
school	1034277, 7516	1
school	4198499, 1901538	1
school	232, 37	1
school	1123839, 2618	1
school	321, 16606	1
school	19, 1128231	1
school	1080054, 101	1
school	627, 1500043	1
school	41, 4123	5
school	3634, 23	3
school	158, 49	25
school_to_university	610, 281	112
school_to_university	2404, 1148424	1
school_to_university	4637576, 0	2
school_to_university	10, 1	3655
school_to_university	635, 1148203	1
school_to_university	94, 60	633
school_to_university	2057, 4907949	1
school_to_university	12269, 41	53
school_to_university	78, 0	254
school_to_university	14300, 56	42
school_to_university	5612, 1	4
school_to_university	455, 6823	3
school_to_university	4628266, 0	2
school_to_university	7606, 130	38
school_to_university	788, 0	46
school_to_university	375, 0	61
school_to_university	135, 151	308
school_to_university	27, 161	1
school_to_university	2, 42	651
school_to_university	3945663, 0	1
school_to_university	1123221, 25	25
school_to_university	282, 0	1399
school_to_university	9115, 144	148
school_to_university	4654237, 0	1
school_to_university	85, 10	12
school_to_university	9340, 0	18
school_to_university	2147, 168	52
school_to_university	1122217, 25	7
school_to_university	158, 61	74
school_to_university	707, 99	228
school_to_university	15463, 458	1
school_to_university	4178222, 123	1
school_to_university	2, 147	42
school_to_university	1518250, 0	1
school_to_university	119, 0	981
school_to_university	185, 2	415
